face_conf_raw,voice_conf_raw,gesture_conf_raw,fusion_new,ground_truth
0.112,0.247,0.0,0.13125,impostor
0.12,0.319,0.0,0.15965000000000001,impostor
0.095,0.297,0.0,0.14195,impostor
0.127,0.305,0.0,0.15755,impostor
0.061,0.248,0.0,0.1112,impostor
0.09,0.246,0.0,0.12209999999999999,impostor
0.074,0.202,0.0,0.1003,impostor
0.078,0.275,0.0,0.12745,impostor
0.055,0.219,0.0,0.09865,impostor
0.08,0.257,0.0,0.12195,impostor
0.079,0.291,0.0,0.13344999999999999,impostor
0.079,0.283,0.0,0.13065,impostor
0.074,0.274,0.0,0.1255,impostor
0.074,0.093,0.0,0.06215,impostor
0.088,0.267,0.0,0.12865000000000001,impostor
0.08,0.21,0.0,0.1055,impostor
0.088,0.29,0.0,0.1367,impostor
0.082,0.264,0.0,0.1252,impostor
0.076,0.276,0.0,0.127,impostor
0.078,0.262,0.0,0.12290000000000001,impostor
0.093,0.257,0.0,0.12715,impostor
0.064,0.285,0.0,0.12535,impostor
0.055,0.329,0.0,0.13715,impostor
0.095,0.223,0.0,0.11605,impostor
0.085,0.3,0.0,0.139,impostor
0.086,0.256,0.0,0.124,impostor
0.088,0.28,0.0,0.1332,impostor
0.076,0.232,0.0,0.11159999999999999,impostor
0.089,0.234,0.0,0.1175,impostor
0.107,0.259,0.0,0.13345,impostor
0.079,0.255,0.0,0.12085,impostor
0.089,0.275,0.0,0.13185,impostor
0.098,0.238,0.0,0.1225,impostor
0.084,0.261,0.0,0.12495,impostor
0.096,0.217,0.0,0.11435,impostor
0.075,0.256,0.0,0.1196,impostor
0.076,0.205,0.0,0.10214999999999999,impostor
0.075,0.303,0.0,0.13605,impostor
0.119,0.236,0.0,0.13019999999999998,impostor
0.11,0.195,0.0,0.11224999999999999,impostor
0.09,0.257,0.0,0.12595,impostor
0.101,0.244,0.0,0.1258,impostor
0.091,0.215,0.0,0.11165,impostor
0.076,0.21,0.0,0.10389999999999999,impostor
0.088,0.193,0.0,0.10275000000000001,impostor
0.087,0.205,0.0,0.10654999999999999,impostor
0.086,0.193,0.0,0.10195,impostor
0.096,0.259,0.0,0.12905,impostor
0.068,0.213,0.0,0.10175,impostor
0.075,0.226,0.0,0.1091,impostor
0.082,0.188,0.0,0.0986,impostor
0.077,0.287,0.0,0.13124999999999998,impostor
0.092,0.246,0.0,0.1229,impostor
0.106,0.383,0.92,0.40645,impostor
0.132,0.349,0.98,0.41995,impostor
0.108,0.323,0.98,0.40125,impostor
0.102,0.316,0.94,0.38639999999999997,impostor
0.103,0.326,0.96,0.3953,impostor
0.144,0.342,0.0,0.1773,impostor
0.099,0.369,0.97,0.41125,impostor
0.179,0.348,0.99,0.44089999999999996,impostor
0.199,0.275,0.99,0.42335,impostor
0.202,0.103,0.99,0.36435,impostor
0.21,0.374,0.99,0.4624,impostor
0.203,0.359,0.97,0.44934999999999997,impostor
0.187,0.37,0.98,0.44930000000000003,impostor
0.205,0.474,0.98,0.4929,impostor
0.215,0.363,0.98,0.45805,impostor
0.227,0.416,0.9,0.46140000000000003,impostor
0.202,0.384,0.94,0.4502,impostor
0.223,0.356,0.87,0.4313,impostor
0.203,0.339,0.97,0.44235,impostor
0.188,0.263,0.98,0.41225,impostor
0.224,0.363,0.97,0.45915,impostor
0.221,0.398,0.98,0.4727,impostor
0.084,0.262,0.99,0.3728,impostor
0.088,0.259,0.96,0.36585,impostor
0.123,0.117,0.93,0.32265,impostor
0.145,0.256,0.99,0.3951,impostor
0.782,0.532,0.91,0.7265,impostor
0.776,0.746,0.93,0.804,impostor
0.769,0.699,0.84,0.76225,impostor
0.786,0.502,0.89,0.7126,impostor
0.762,0.408,0.89,0.6701,impostor
0.739,0.452,0.88,0.6738000000000001,impostor
0.759,0.303,0.87,0.62715,impostor
0.759,0.217,0.91,0.6070500000000001,impostor
0.781,0.577,0.9,0.73935,impostor
0.781,0.688,0.83,0.7606999999999999,impostor
0.696,0.509,0.88,0.67655,impostor
0.689,0.448,0.89,0.6549,impostor
0.668,0.463,0.91,0.6567500000000001,impostor
0.667,0.453,0.94,0.66035,impostor
0.661,0.546,0.91,0.683,impostor
0.661,0.591,0.96,0.7112499999999999,impostor
0.666,0.467,0.84,0.63985,impostor
0.68,0.285,0.96,0.61175,impostor
0.579,0.465,0.91,0.62185,impostor
0.615,0.41,0.87,0.607,impostor
0.739,0.418,0.82,0.6469,impostor
0.786,0.462,0.73,0.6586000000000001,impostor
0.786,0.412,0.94,0.6936,impostor
0.76,0.462,0.94,0.7007000000000001,impostor
0.762,0.391,0.92,0.67165,impostor
0.75,0.547,0.9,0.71645,impostor
0.782,0.572,0.91,0.7405,impostor
0.784,0.607,0.87,0.74355,impostor
0.723,0.387,0.98,0.66965,impostor
0.772,0.587,0.98,0.75925,impostor
0.781,0.385,0.93,0.67965,impostor
0.765,0.516,0.96,0.7266,impostor
0.775,0.622,0.81,0.7302000000000001,impostor
0.75,0.511,0.9,0.70385,impostor
0.761,0.468,0.94,0.7032,impostor
0.771,0.418,0.98,0.6997,impostor
0.774,0.485,0.99,0.72685,impostor
0.778,0.554,0.98,0.7501000000000001,impostor
0.782,0.42,0.96,0.6998,impostor
0.769,0.613,0.93,0.75465,impostor
0.748,0.577,0.67,0.66865,impostor
0.5,0.721,0.83,0.6598499999999999,impostor
0.518,0.783,0.81,0.6837500000000001,impostor
0.778,0.382,0.82,0.6499,impostor
0.731,0.722,0.84,0.7550999999999999,impostor
0.829,0.71,0.94,0.8150999999999999,impostor
0.784,0.643,0.72,0.71865,impostor
0.701,0.481,0.95,0.68625,impostor
0.7,0.586,0.96,0.7251,impostor
0.805,0.626,0.87,0.7586,impostor
0.782,0.63,0.91,0.7608,impostor
0.52,0.551,0.72,0.5808500000000001,impostor
0.81,0.581,0.68,0.69735,impostor
0.808,0.571,0.95,0.7605500000000001,impostor
0.81,0.592,0.99,0.7787,impostor
0.79,0.69,0.88,0.7775,impostor
0.818,0.713,0.97,0.81925,impostor
0.779,0.62,0.8,0.7286000000000001,impostor
0.742,0.731,0.72,0.73265,impostor
0.735,0.624,0.91,0.7399,impostor
0.791,0.723,0.79,0.76695,impostor
0.808,0.504,0.92,0.7296,impostor
0.817,0.579,0.82,0.7344499999999999,impostor
0.813,0.661,0.87,0.77405,impostor
0.817,0.48,0.77,0.6873,impostor
0.812,0.578,0.73,0.7096,impostor
0.784,0.596,0.93,0.7547,impostor
0.814,0.6,0.91,0.7631,impostor
0.82,0.513,0.96,0.7475499999999999,impostor
0.808,0.589,0.93,0.76185,impostor
0.792,0.658,0.87,0.7646000000000001,impostor
0.8,0.585,0.99,0.7722500000000001,impostor
0.809,0.42,0.91,0.6981,impostor
0.795,0.691,0.85,0.77235,impostor
0.805,0.612,0.96,0.7762,impostor
0.793,0.691,0.97,0.80155,impostor
0.772,0.722,0.97,0.804,impostor
0.813,0.716,0.98,0.8208,impostor
0.814,0.707,0.98,0.8180499999999999,impostor
0.815,0.553,0.98,0.76455,impostor
0.805,0.662,0.97,0.7962,impostor
0.551,0.635,0.87,0.66015,impostor
0.762,0.722,0.99,0.8049999999999999,impostor
0.754,0.577,0.98,0.7485499999999999,impostor
0.807,0.624,0.97,0.7837000000000001,impostor
0.824,0.684,0.97,0.8114999999999999,impostor
0.81,0.512,0.98,0.7482000000000001,impostor
0.806,0.74,0.94,0.8164,impostor
0.813,0.532,0.96,0.7514,impostor
0.582,0.794,0.75,0.6981999999999999,impostor
0.612,0.82,0.84,0.7418,impostor
0.654,0.748,0.96,0.7634,impostor
0.743,0.284,0.94,0.6315999999999999,impostor
0.746,0.285,0.94,0.63315,impostor
0.75,0.236,0.91,0.6101000000000001,impostor
0.769,0.235,0.92,0.61985,impostor
0.768,0.23,0.88,0.6077,impostor
0.768,0.258,0.92,0.6275000000000001,impostor
0.765,0.317,0.9,0.64195,impostor
0.747,0.292,0.93,0.6335000000000001,impostor
